"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"ci2uaeBv4Jg","MOH - Uganda","Ankole","Bushenyi District","Nyabubare Subcounty","Nyabubare HC III","Nyabubare HC III",82280,NA,2022,33,526.5,24652.4999999997,24125.9999999997,1
"ci6s0lgQqFZ","MOH - Uganda","Bukedi","Pallisa District","Gogonyo Subcounty","Gogonyo HC III","Gogonyo HC III",3715200,115,2022,1,183,1145632.35,1145449.35,1
"cqExOqLOqNY","MOH - Uganda","West Nile","Moyo District","Octe Subcounty","Ori HC II","Ori HC II",1183040,86,2022,44,24481.925,459750.999999999,435269.074999999,1
"czyJDi9E4Y4","MOH - Uganda","Tooro","Kyegegwa District","Kigambo Subcounty","Kigambo HC III","Kigambo HC III",572228,48,2022,17,1426.2,73800.1999999993,72373.9999999993,1
"d3ugFJbENWb","MOH - Uganda","Tooro","Kamwenge District","Bigodi Town Council","Bigodi HC III","Bigodi HC III",1238080,67,2022,21,1622.2,408752.000000003,407129.800000003,1
"d6BLcmYUPVy","MOH - Uganda","Bunyoro","Hoima City","Kasingo Ward","Bacayaya HC II","Bacayaya HC II",997250,NA,2022,26,6741.5,262654.499999999,255912.999999999,1
"dJd3ohZ6VTQ","MOH - Uganda","Bukedi","Budaka District","Budaka Town Council","Namengo HC III","Namengo HC III",52030,29,2022,52,300,16380,16080,1
"dQprl8P1Uae","MOH - Uganda","South Central","Wakiso District","Nansana Division","Nurture Africa II Special Clinic","Nurture Africa II Special Clinic",84,8,2022,12,1.075,25.85,24.775,1
"dUTmAyJW63T","MOH - Uganda","Tooro","Kasese District","Kilembe Subcounty","Kalibu HC III","Kalibu HC III",57422,10,2022,25,18,18298.8499999999,18280.8499999999,1
"dfFefs1HDIs","MOH - Uganda","Karamoja","Karenga District","Lobalangit Subcounty","Lobalangit HC III","Lobalangit HC III",431740,91,2022,20,17422.65,83160,65737.35,1
"dusS2wts7ax","MOH - Uganda","Teso","Kaberamaido District","Kaberamaido Town Council","Kaberamaido COU (Alem) HC II","Kaberamaido COU (Alem) HC II",1260,20,2022,41,33,469.8,436.8,1
"dzGy5bmukHt","MOH - Uganda","Ankole","Kiruhura District","Rwenshande Sub county","Rwenshande HC III","Rwenshande HC III",98480,51,2022,8,1344,39856.0000000002,38512.0000000002,1
"e1pByDp3Nxo","MOH - Uganda","North Central","Nakasongola District","Nakasongola Town Council","Nakasongola Prisons HC III","Nakasongola Prisons HC III",7020000,11,2022,40,2929.5,1812150,1809220.5,1
