"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"FzjQcOWAApu","MOH - Uganda","South Central","Kalangala District","Mugoye Subcounty","Kasekulo HC II","Kasekulo HC II",79201,9,2022,10,720,7920,7200,1
"GT8CbxGtA7o","MOH - Uganda","Bugisu","Bulambuli District","Lusha Subcounty","Bumwambu HC III","Bumwambu HC III",198000,11,2022,16,864.000000000001,77166.0000000001,76302.0000000001,1
"GTtwaqeomFa","MOH - Uganda","Kigezi","Kisoro District","Rubuguri Town Council","Rubuguri HC IV","Rubuguri HC IV",2047200,5,2022,36,21017.7,27948.9,6931.2,1
"GaSVQD2cOzL","MOH - Uganda","Kampala","Kampala District","Rubaga Division","Saidina Abubakar Nursing Home HC III","Saidina Abubakar Nursing Home HC III",87840,8,2022,22,360,4677.5,4317.5,1
"GjiT4Fcwj6P","MOH - Uganda","North Central","Kyankwanzi District","Gayaza Subcounty","Kiyuni HC III","Kiyuni HC III",155120,59,2022,37,780,50935.5,50155.5,1
"Gs4nX12jUeA","MOH - Uganda","West Nile","Yumbe District","Yumbe Town Council","Yumbe HC IV","Yumbe HC IV",155282040,NA,2022,52,59730,1342155,1282425,1
"GydLR8lY7Qw","MOH - Uganda","West Nile","Madi-Okollo District","Rigbo Subcounty","Oduobu HC III","Oduobu HC III",972360,440,2022,24,11124,137295.25,126171.25,1
"GzIVh9blxSN","MOH - Uganda","Acholi","Agago District","Omot Subcounty","Omot HC II","Omot HC II",2256360,317,2022,24,1800,747150,745350,1
"Gzi0wE7W18v","MOH - Uganda","Kigezi","Rukiga District","Rwamucucu Subcounty","Mparo Prison HC II","Mparo Prison HC II",39780,NA,2022,1,104,8184.00000000011,8080.00000000011,1
"H5qRrAmreYp","MOH - Uganda","West Nile","Madi-Okollo District","Uleppi Subcounty","St. Luke Katiyi HC III","St. Luke Katiyi HC III",45700,18,2022,15,367.5,11475,11107.5,1
"H8IwuI5HbgB","MOH - Uganda","West Nile","Yumbe District","Midigo Subcounty","Midigo HC IV","Midigo HC IV",1661800,249,2022,25,900,413855,412955,1
